"","type","dataset","name","value","year","millha"
"1","Natural forest","ESA CCI","year1992",0,1992,0
"2","Natural forest","ESA CCI","year1993",0,1993,0
"3","Natural forest","ESA CCI","year1994",0,1994,0
"4","Natural forest","ESA CCI","year1995",102796308170.901,1995,10.2796308170901
"5","Natural forest","ESA CCI","year1996",163221121552.266,1996,16.3221121552266
"6","Natural forest","ESA CCI","year1997",214382107982.168,1997,21.4382107982168
"7","Natural forest","ESA CCI","year1998",266817810126.263,1998,26.6817810126263
"8","Natural forest","ESA CCI","year1999",433419944795.801,1999,43.3419944795801
"9","Natural forest","ESA CCI","year2000",573151194215.786,2000,57.3151194215786
"10","Natural forest","ESA CCI","year2001",694138785447.951,2001,69.4138785447951
"11","Natural forest","ESA CCI","year2002",752662234589.93,2002,75.2662234589931
"12","Natural forest","ESA CCI","year2003",830360597933.304,2003,83.0360597933304
"13","Natural forest","ESA CCI","year2004",963638653902.08,2004,96.363865390208
"14","Natural forest","ESA CCI","year2005",1017250399274.46,2005,101.725039927446
"15","Natural forest","ESA CCI","year2006",1066954858165.92,2006,106.695485816592
"16","Natural forest","ESA CCI","year2007",1135604703493.27,2007,113.560470349327
"17","Natural forest","ESA CCI","year2008",1217599793298.44,2008,121.759979329844
"18","Natural forest","ESA CCI","year2009",1288387313463.76,2009,128.838731346376
"19","Natural forest","ESA CCI","year2010",1307305635493.09,2010,130.730563549309
"20","Natural forest","ESA CCI","year2011",1326531159812.46,2011,132.653115981246
"21","Natural forest","ESA CCI","year2012",1336503769272.11,2012,133.650376927211
"22","Natural forest","ESA CCI","year2013",1351853725679.92,2013,135.185372567992
"23","Natural forest","ESA CCI","year2014",1402670077345.39,2014,140.267007734539
"24","Natural forest","ESA CCI","year2015",1402902598908.95,2015,140.290259890895
"25","Managed forest","ESA CCI","year1992",0,1992,0
"26","Managed forest","ESA CCI","year1993",0,1993,0
"27","Managed forest","ESA CCI","year1994",0,1994,0
"28","Managed forest","ESA CCI","year1995",18409378321.2537,1995,1.84093783212537
"29","Managed forest","ESA CCI","year1996",28030194473.3888,1996,2.80301944733888
"30","Managed forest","ESA CCI","year1997",35350490925.663,1997,3.5350490925663
"31","Managed forest","ESA CCI","year1998",41861971154.5274,1998,4.18619711545274
"32","Managed forest","ESA CCI","year1999",71513926238.5028,1999,7.15139262385028
"33","Managed forest","ESA CCI","year2000",92394125119.385,2000,9.2394125119385
