"layer","type","country_sov","country","country_iso","total_area_millha"
"modis_forestgainsum","natural","Indonesia","Indonesia","IDN",13.8624073728
"modis_forestgainsum","natural","Malaysia","Malaysia","MYS",3.0355429376
"modis_forestgainsum","natural","Chile","Chile","CHL",12.5014867968
"modis_forestgainsum","natural","Bolivia","Bolivia","BOL",10.54388224
"modis_forestgainsum","natural","Peru","Peru","PER",9.675231232
"modis_forestgainsum","natural","Argentina","Argentina","ARG",30.0402475008
"modis_forestgainsum","natural","United Kingdom","Dhekelia Cantonment","-99",0
"modis_forestgainsum","natural","Cyprus","Cyprus","CYP",0.2154153216
"modis_forestgainsum","natural","India","India","IND",34.2146875392
"modis_forestgainsum","natural","China","People's Republic of China","CHN",78.7142803456
"modis_forestgainsum","natural","Israel","Israel","ISR",0.0410072096
"modis_forestgainsum","natural","Israel","Palestine","PSE",0.000246528625
"modis_forestgainsum","natural","Lebanon","Lebanon","LBN",0.1488730624
"modis_forestgainsum","natural","Ethiopia","Ethiopia","ETH",8.5702156288
"modis_forestgainsum","natural","South Sudan","South Sudan","SSD",22.6139570176
"modis_forestgainsum","natural","Somalia","Somalia","SOM",0.8413262848
"modis_forestgainsum","natural","Kenya","Kenya","KEN",3.6862365696
"modis_forestgainsum","natural","Malawi","Malawi","MWI",0.8604771328
"modis_forestgainsum","natural","United Republic of Tanzania","Tanzania","TZA",9.0642014208
"modis_forestgainsum","natural","Syria","Syria","SYR",0.1822058112
"modis_forestgainsum","natural","Somaliland","Somaliland","-99",0.0557892736
"modis_forestgainsum","natural","France","France","-99",7.474253824
"modis_forestgainsum","natural","Suriname","Suriname","SUR",0.5465619968
"modis_forestgainsum","natural","Guyana","Guyana","GUY",0.8403770368
"modis_forestgainsum","natural","South Korea","South Korea","KOR",0.498800128
"modis_forestgainsum","natural","North Korea","North Korea","PRK",2.5633036288
"modis_forestgainsum","natural","Morocco","Morocco","MAR",3.4000564224
"modis_forestgainsum","natural","Western Sahara","Western Sahara","ESH",0
"modis_forestgainsum","natural","Costa Rica","Costa Rica","CRI",0.41636544
"modis_forestgainsum","natural","Nicaragua","Nicaragua","NIC",1.4786864128
"modis_forestgainsum","natural","Republic of the Congo","Republic of the Congo","COG",3.9382048768
"modis_forestgainsum","natural","Democratic Republic of the Congo","Democratic Republic of the Congo","COD",8.6331367424
"modis_forestgainsum","natural","Bhutan","Bhutan","BTN",0.5618725376
"modis_forestgainsum","natural","Namibia","Namibia","NAM",0.0285330528
"modis_forestgainsum","natural","South Africa","South Africa","ZAF",9.5886483456
"modis_forestgainsum","natural","France","Saint Martin","MAF",0.0031703526
"modis_forestgainsum","natural","Netherlands","Sint Maarten","SXM",0.000348177625
"modis_forestgainsum","natural","Oman","Oman","OMN",2.8076103125e-05
"modis_forestgainsum","natural","Uzbekistan","Uzbekistan","UZB",0.0524065312
"modis_forestgainsum","natural","Kazakhstan","Kazakhstan","KAZ",2.5192968192
"modis_forestgainsum","natural","Tajikistan","Tajikistan","TJK",0.0830425856
"modis_forestgainsum","natural","Lithuania","Lithuania","LTU",1.1763863552
"modis_forestgainsum","natural","Brazil","Brazil","BRA",111.425093632
"modis_forestgainsum","natural","Uruguay","Uruguay","URY",1.588570112
"modis_forestgainsum","natural","Mongolia","Mongolia","MNG",9.7106690048
"modis_forestgainsum","natural","Czechia","Czech Republic","CZE",1.0946619392
"modis_forestgainsum","natural","Germany","Germany","DEU",4.4587409408
"modis_forestgainsum","natural","Estonia","Estonia","EST",1.0029278208
"modis_forestgainsum","natural","Latvia","Latvia","LVA",1.1995224064
"modis_forestgainsum","natural","Sweden","Sweden","SWE",2.4449062912
"modis_forestgainsum","natural","Finland","Finland","FIN",2.1555838976
"modis_forestgainsum","natural","Vietnam","Vietnam","VNM",2.1911345152
"modis_forestgainsum","natural","Cambodia","Cambodia","KHM",0.1762255232
"modis_forestgainsum","natural","Luxembourg","Luxembourg","LUX",0.0424582208
"modis_forestgainsum","natural","United Arab Emirates","United Arab Emirates","ARE",8.94967e-05
"modis_forestgainsum","natural","Belgium","Belgium","BEL",0.215841408
"modis_forestgainsum","natural","Georgia","Georgia","GEO",0.7226850816
"modis_forestgainsum","natural","Azerbaijan","Azerbaijan","AZE",0.8688525312
"modis_forestgainsum","natural","Turkey","Turkey","TUR",14.09896448
"modis_forestgainsum","natural","Spain","Spain","ESP",15.8662934528
"modis_forestgainsum","natural","Laos","Laos","LAO",0.485675776
"modis_forestgainsum","natural","Kyrgyzstan","Kyrgyzstan","KGZ",0.4310577152
"modis_forestgainsum","natural","Armenia","Armenia","ARM",0.317401344
"modis_forestgainsum","natural","Denmark","Denmark","DNK",0.271778304
"modis_forestgainsum","natural","Libya","Libya","LBY",0.0075443256
"modis_forestgainsum","natural","Tunisia","Tunisia","TUN",0.5120521728
"modis_forestgainsum","natural","Romania","Romania","ROU",2.127680512
"modis_forestgainsum","natural","Hungary","Hungary","HUN",1.2964857856
"modis_forestgainsum","natural","Slovakia","Slovakia","SVK",0.4900180992
"modis_forestgainsum","natural","Poland","Poland","POL",3.4900987904
"modis_forestgainsum","natural","Ireland","Ireland","IRL",0.4580395008
"modis_forestgainsum","natural","United Kingdom","United Kingdom","GBR",1.075963392
"modis_forestgainsum","natural","Greece","Greece","GRC",7.2659140608
"modis_forestgainsum","natural","Zambia","Zambia","ZMB",13.0523512832
"modis_forestgainsum","natural","Sierra Leone","Sierra Leone","SLE",1.2143919104
"modis_forestgainsum","natural","Guinea","Guinea","GIN",6.0963581952
"modis_forestgainsum","natural","Liberia","Liberia","LBR",0.1411236736
"modis_forestgainsum","natural","Central African Republic","Central African Republic","CAF",3.5117686784
"modis_forestgainsum","natural","Sudan","Sudan","SDN",1.4842107904
"modis_forestgainsum","natural","Djibouti","Djibouti","DJI",0
"modis_forestgainsum","natural","Eritrea","Eritrea","ERI",0.027283152
"modis_forestgainsum","natural","Austria","Austria","AUT",0.9642457088
"modis_forestgainsum","natural","Iraq","Iraq","IRQ",0.0505027584
"modis_forestgainsum","natural","Italy","Italy","ITA",4.651309056
"modis_forestgainsum","natural","Iran","Iran","IRN",0.4623023104
"modis_forestgainsum","natural","Netherlands","Netherlands","NLD",0.5558140416
"modis_forestgainsum","natural","Liechtenstein","Liechtenstein","LIE",0.0081698456
"modis_forestgainsum","natural","Ivory Coast","Ivory Coast","CIV",1.1325770752
"modis_forestgainsum","natural","Mali","Mali","MLI",2.1185052672
"modis_forestgainsum","natural","Senegal","Senegal","SEN",2.7004557312
"modis_forestgainsum","natural","Nigeria","Nigeria","NGA",9.1199684608
"modis_forestgainsum","natural","Benin","Benin","BEN",1.4897133568
"modis_forestgainsum","natural","Angola","Angola","AGO",17.5591555072
"modis_forestgainsum","natural","Croatia","Croatia","HRV",1.5079216128
"modis_forestgainsum","natural","Slovenia","Slovenia","SVN",0.1696409984
"modis_forestgainsum","natural","Qatar","Qatar","QAT",0
"modis_forestgainsum","natural","Saudi Arabia","Saudi Arabia","SAU",0.0158800928
"modis_forestgainsum","natural","Botswana","Botswana","BWA",0.2315022336
"modis_forestgainsum","natural","Zimbabwe","Zimbabwe","ZWE",10.036027392
"modis_forestgainsum","natural","Pakistan","Pakistan","PAK",5.5516372992
"modis_forestgainsum","natural","Bulgaria","Bulgaria","BGR",3.7107597312
"modis_forestgainsum","natural","Thailand","Thailand","THA",3.984361472
"modis_forestgainsum","natural","San Marino","San Marino","SMR",0.0016078772
"modis_forestgainsum","natural","Haiti","Haiti","HTI",0.1904695168
"modis_forestgainsum","natural","Dominican Republic","Dominican Republic","DOM",0.6770453504
"modis_forestgainsum","natural","Chad","Chad","TCD",2.0270651392
"modis_forestgainsum","natural","Kuwait","Kuwait","KWT",0
"modis_forestgainsum","natural","El Salvador","El Salvador","SLV",0.3659913216
"modis_forestgainsum","natural","Guatemala","Guatemala","GTM",1.0619751424
"modis_forestgainsum","natural","East Timor","East Timor","TLS",0.1776929664
"modis_forestgainsum","natural","Brunei","Brunei","BRN",0.0400897632
"modis_forestgainsum","natural","Monaco","Monaco","MCO",1.42861962890625e-06
"modis_forestgainsum","natural","Algeria","Algeria","DZA",3.6898287616
"modis_forestgainsum","natural","Mozambique","Mozambique","MOZ",8.02992128
"modis_forestgainsum","natural","eSwatini","Eswatini","SWZ",1.2759324672
"modis_forestgainsum","natural","Burundi","Burundi","BDI",0.405631872
"modis_forestgainsum","natural","Rwanda","Rwanda","RWA",0.2248099584
"modis_forestgainsum","natural","Myanmar","Myanmar","MMR",3.356259328
"modis_forestgainsum","natural","Bangladesh","Bangladesh","BGD",0.0924923456
"modis_forestgainsum","natural","Andorra","Andorra","AND",0.0089175976
"modis_forestgainsum","natural","Afghanistan","Afghanistan","AFG",1.0570120192
"modis_forestgainsum","natural","Uganda","Uganda","UGA",2.4099944448
"modis_forestgainsum","natural","Cuba","Guantanamo Bay Naval Base","-99",0.0034460384
"modis_forestgainsum","natural","Cuba","Cuba","CUB",3.3823901696
"modis_forestgainsum","natural","Honduras","Honduras","HND",0.9276996608
"modis_forestgainsum","natural","Ecuador","Ecuador","ECU",9.6768032768
"modis_forestgainsum","natural","Colombia","Colombia","COL",13.1922477056
"modis_forestgainsum","natural","Paraguay","Paraguay","PRY",1.9658051584
